Action id,"
Municipality/Region name ",Province,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)"
ID-Aurora-001,Aurora,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Aurora-002,Aurora,Ontario,,,,No,Yes,Planned
ID-Aurora-003,Aurora,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-Aurora-004,Aurora,Ontario,,,,Yes,Yes,Planned
ID-Aurora-005,Aurora,Ontario,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Planned
ID-Aurora-006,Aurora,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),Yes,No,Planned
ID-Aurora-007,Aurora,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Underway
ID-Brampton-001,Brampton,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing
ID-Brampton-002,Brampton,Ontario,,,,No,No,Ongoing
ID-Brampton-003,Brampton,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of New Buildings,Promote building energy rating systems (commercial and residential) or standards,No,No,Ongoing
ID-Brampton-004,Brampton,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Planned
ID-Brampton-005,Brampton,Ontario,,,,No,No,Planned
ID-Brampton-006,Brampton,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Brampton-007,Brampton,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Brampton-008,Brampton,Ontario,,,,No,No,Underway
ID-Brampton-009,Brampton,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway
ID-Brampton-010,Brampton,Ontario,,,,No,No,Underway
ID-Brampton-011,Brampton,Ontario,,,,No,No,Underway
ID-Brampton-012,Brampton,Ontario,,,,No,No,Underway
ID-Brampton-013,Brampton,Ontario,,,,No,No,Underway
ID-Brampton-014,Brampton,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Brampton-015,Brampton,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Brampton-016,Brampton,Ontario,,,,No,No,Planned
ID-Brampton-017,Brampton,Ontario,,,,No,No,Underway
ID-Brampton-018,Brampton,Ontario,,,,No,No,Planned
ID-Brampton-019,Brampton,Ontario,,,,No,No,Planned
ID-Brampton-020,Brampton,Ontario,,,,No,No,Planned
ID-Brampton-021,Brampton,Ontario,,,,No,No,Planned
ID-Brampton-022,Brampton,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-Brampton-023,Brampton,Ontario,Price signals,,,No,No,Planned
ID-Brampton-024,Brampton,Ontario,Price signals,,,No,No,Underway
ID-Brampton-025,Brampton,Ontario,Public investment,,,No,No,Planned
ID-Brampton-026,Brampton,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),No,No,Planned
ID-Brampton-027,Brampton,Ontario,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Planned
ID-Brampton-028,Brampton,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway
ID-Brampton-029,Brampton,Ontario,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Planned
ID-Brampton-030,Brampton,Ontario,,,,No,No,Planned
ID-Brampton-031,Brampton,Ontario,,,,No,No,Planned
ID-Brampton-032,Brampton,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Planned
ID-Brampton-033,Brampton,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-Brampton-034,Brampton,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
